,NCBI Tax ID,category,scientific_name,common_names
183,246517,Miscellaneous,Cordia alliodora,canalete; salmwood; urua; ajo ajo; lourinho; pardillo
184,205567,Fruit,Solanum muricatum,melon pear; peruvian pepino; mataserrano
185,99072,Miscellaneous,Leucanthemum vulgare,None
186,115466,Fruit,Euterpe oleracea,None
187,74517,Miscellaneous,Trifolium hybridum,None
188,49943,Miscellaneous,Gentiana cruciata,None
189,189211,Vegetable,Crassocephalum crepidioides,None
190,934696,Miscellaneous,Vaccinium angustifolium x Vaccinium corymbosum,None
191,41776,Miscellaneous,Nandina domestica,heavenly bamboo
192,189232,Miscellaneous,Jacobaea cannabifolia,aleutian ragwort
193,230198,Miscellaneous,Balsamorhiza deltoidea,None
194,58168,Miscellaneous,Bambusa vulgaris,None
195,254777,Miscellaneous,Galium mollugo,false baby's breath
196,189242,Miscellaneous,Senecio nemorensis,None
197,41788,Miscellaneous,Stauntonia hexaphylla,None
198,230209,Miscellaneous,Balsamorhiza sagittata,None
199,49987,Herbs and Spices,Satureja hortensis,summer savory
200,49988,Herbs and Spices,Satureja montana,winter savory
201,82755,Vegetable,Gymnanthemum amygdalinum,None
202,1532743,Miscellaneous,Clematis flammula,None
203,49992,Herbs and Spices,Thymus vulgaris,garden thyme; thyme
204,66380,Plant,Broussonetia kazinoki,kozo
205,230214,Miscellaneous,Wyethia angustifolia,None
206,230222,Miscellaneous,Wyethia mollis,None
207,516948,Fruit,Vaccinium oxycoccos,mossberry; european cranberry
208,443222,"Herbs and Spices, Vegetable-Leaf",Toona sinensis,None
209,271192,Herbs and Spices,Pimpinella anisum,None
210,66392,Miscellaneous,Morus australis,aino mulberry; tang gui mulberry
211,66393,Fruit,Morus bombycis,None
212,1041245,Miscellaneous,Opuntia macrorhiza,None
213,1352543,Herbs and Spices,Cyperus articulatus,None
214,459629,Herbs and Spices,Embelia ribes,None
215,58228,Fruit,Garcinia mangostana,mangosteen
216,74613,Herbs and Spices,Glycyrrhiza uralensis,gan zao; chinese licorice
217,1297873,Plant,Ulmus davidiana,None
218,74632,Miscellaneous,Rosa gallica,french rose; apothecary rose; red rose of lancaster
219,476039,Miscellaneous,Thalictrum minus,None
220,74635,Fruit,Rosa canina,dog briar
221,549775,Miscellaneous,Lophira alata,azobe
222,189328,Miscellaneous,Potamogeton natans,broadleaf pondweed
223,74645,Flower,Rosa rugosa,turkestan rose; japanese rose
224,74646,Miscellaneous,Rosa moschata,musk rose
225,74649,Miscellaneous,Rosa chinensis,china rose
226,74647,Miscellaneous,Rosa multiflora,japanese rose
227,74652,Flower,Rosa laevigata,cherokee rose
228,74654,Flower,Rosa roxburghii,chestnut rose; chinquapin rose
229,74656,Herbs and Spices,Agrimonia pilosa,long ya cao; xian he cao
230,405322,Herbs and Spices,Piper cubeba,None
231,525237,Miscellaneous,Salsola collina,None
232,181189,Miscellaneous,Cynoglossum officinale,hound's tongue
233,74693,Miscellaneous,Veronica anagallis-aquatica,water speedwell
234,189386,Miscellaneous,Typha domingensis,totora
235,74709,Miscellaneous,Glycyrrhiza aspera,None
236,91097,Miscellaneous,Hylotelephium telephium,witches' moneybag; orpine; live forever; witches' moneybags
237,58330,Miscellaneous,Quercus acutissima,sawtooth oak
238,58331,Miscellaneous,Quercus suber,cork oak
239,99292,Fruit,Hovenia dulcis,kemponashi; chinese raisintree
240,58333,Miscellaneous,Quercus virginiana,southern live oak
241,58334,Plant Derivative,Quercus ilex,holly oak
242,58335,Miscellaneous,Quercus coccifera,None
243,361442,Herbs and Spices,Vitex negundo,huang ping; chinese chastetree
244,99300,Miscellaneous,Rehmannia glutinosa,chinese foxglove
245,287721,Plant,Aralia continentalis,None
246,91120,Miscellaneous,Phedimus kamtschaticus,None
247,1016831,Miscellaneous,Cordyline australis,None
248,304130,Miscellaneous,Physalis philadelphica,mexican groundcherry
249,50179,Miscellaneous,Cephalotaxus wilsoniana,None
250,345099,Fruit,Ampelopsis glandulosa,porcelain berry; amur peppervine
251,91146,"Vegetable, Plant",Sedum sarmentosum,None
252,91155,Herbs and Spices,Sempervivum tectorum,None
253,50192,Miscellaneous,Sonchus arvensis,field sow thistle
254,140311,Fruit,Prunus cerasus,pie cherry; sour cherry
255,181273,Miscellaneous,Lotus halophilus,None
256,304153,Fruit,Physalis minima,pygmy groundcherry
257,50207,Vegetable,Sonchus oleraceus,common sow thistle
258,345127,Plant Derivative,Parthenocissus tricuspidata,boston ivy
259,125585,Herbs and Spices,Tamarix gallica,None
260,328752,Vegetable-Leaf,Costus afer,None
261,50225,Flower,Taraxacum officinale,dandelion
262,125587,Miscellaneous,Bistorta officinalis,None
263,672825,Miscellaneous,Meehania urticifolia,None
264,91198,Vegetable-Bulb,Allium macrostemon,None
265,91201,Herbs and Spices,Gastrodia elata,None
266,42043,Miscellaneous,Silene vulgaris,bladder campion; maiden's tears; maiden's tear
267,74823,Miscellaneous,Papaver nudicaule,arctic poppy; icelandic poppy
268,164936,Miscellaneous,Melaleuca leucadendra,None
269,91209,Miscellaneous,Juglans ailanthifolia,None
270,91214,Miscellaneous,Juglans cinerea,None
271,66636,Herbs and Spices,Larrea tridentata,creosote bush
272,107608,Miscellaneous,Amaranthus palmeri,None
273,91224,Miscellaneous,Platycarya strobilacea,None
274,66652,Miscellaneous,Zygophyllum fabago,syrian bean caper
275,66656,Fruit,Durio zibethinus,durian
276,296036,Fruit,Phyllanthus emblica,emblic; amla; indian gooseberry
277,50282,Herbs and Spices,Centaurea benedicta,blessed thistle
278,237945,Miscellaneous,Viburnum lantana,wayfaring tree; mealytree
279,66669,Herbs and Spices,Tilia americana,american basswood; american lime; american linden
280,237946,Miscellaneous,Viburnum lantanoides,None
281,66672,Herbs and Spices,Bixa orellana,lipstick tree; roucou; annatto; achiote; arnatto; urucum
282,50308,Vegetable,Polyscias fruticosa,None
283,386182,Miscellaneous,Herpetospermum pedunculosum,None
284,1238152,Miscellaneous,Artemisia sacrorum,None
285,74896,Miscellaneous,Allium neapolitanum,flowering onion
286,74898,Miscellaneous,Allium roseum,None
287,74900,Herbs and Spices,Allium schoenoprasum,chive
288,345239,Miscellaneous,Geranium thunbergii,None
289,1303703,Miscellaneous,Urtica thunbergiana,None
290,237954,Miscellaneous,Viburnum prunifolium,None
291,197796,Vegetable,Plantago asiatica,asian plantain
292,374729,Miscellaneous,Siphonostegia chinensis,None
293,230593,Miscellaneous,Eleutherococcus divaricatus,None
294,312530,Vegetable,Angelica pubescens,du huo
295,83154,Herbs and Spices,Bassia scoparia,burning bush; summer cypress; summer cypres; summer cypre
296,279769,Miscellaneous,Aconitum heterophyllum,None
297,165083,Miscellaneous,Gundelia tournefortii,None
298,173278,Fruit,Ephedra intermedia,None
299,173280,Miscellaneous,Ephedra equisetina,muzei ma huang
300,861413,Fruit,Gaultheria trichophylla,None
301,287979,Miscellaneous,Antidesma bunius,chinese laurel; salamander tree; bignay
302,591085,Miscellaneous,Viola diffusa,None
303,42229,Fruit,Prunus avium,sweet cherry; gean; mazzard
304,66807,Miscellaneous,Medicago arborea,None
305,50458,Miscellaneous,Barbarea verna,early winter cress; early winter cres; early winter cre
306,50459,Miscellaneous,Barbarea vulgaris,winter cre; winter cres; winter cress; yellow rocket; upland cres; upland cress; upland cre
307,49511,Miscellaneous,Piper longum,None
308,58664,Miscellaneous,Milicia excelsa,iroko; odum; mvule; african teak
309,13288,Miscellaneous,Thlaspi arvense,None
310,75067,Miscellaneous,Rubus crataegifolius,None
311,50499,Miscellaneous,Rorippa indica,variableleaf yellowcress; variableleaf yellowcres; variableleaf yellowcre
312,681286,Flower,Curculigo orchioides,None
313,75079,Miscellaneous,Rubus occidentalis,black raspberry
314,165199,Miscellaneous,Actinidia callosa,None
315,165200,Miscellaneous,Actinidia eriantha,None
316,75085,Miscellaneous,Rubus phoenicolasius,duo xian xuan gou zi; japanese wineberry; wine raspberry
317,75099,Fruit,Rubus ulmifolius,None
318,75100,Miscellaneous,Rubus ursinus,california blackberry
319,42337,Flower,Bidens pilosa,beggar tick; cuckold; sticktight; bur marigold; beggar ticks
320,189786,Plant Derivative,Tamarix aphylla,salt cedar; desert tamarix; atheltree
321,42345,Fruit,Phoenix dactylifera,date palm
322,132459,Fruit,Pueraria montana,fen ke; mealy kudzu; kudzu vine; kudzu
323,189803,Miscellaneous,Tamarix ramosissima,None
324,173423,Miscellaneous,Drosera rotundifolia,None
325,255348,Fruit,Rhus typhina,None
326,140661,Miscellaneous,Prunus tenella,dwarf Russian almond
327,1082757,Herbs and Spices,Origanum syriacum,None
328,34190,Miscellaneous,Hemerocallis fulva,None
329,34193,Miscellaneous,Maianthemum dilatatum,deerberry
330,34199,Herbs and Spices,Aloe vera,barbados alo; aloe vera; acibar; babosa; barbados aloe
331,34205,Herbs and Spices,Iris germanica,fleur de lis
332,176135,Miscellaneous,Sanguisorba tenuifolia,None
333,176136,Fruit,Rubus parvifolius,trailing raspberry; mao mei
334,83375,Miscellaneous,Aesculus turbinata,japanese horse chestnut
335,165298,Herbs and Spices,Cissus quadrangularis,veldt grape; winged treebine
336,34253,Miscellaneous,Echium vulgare,None
337,34256,Herbs and Spices,Mentha x piperita,peppermint
338,34270,Miscellaneous,Syringa vulgaris,common lilac
339,99806,Fruit,Taxus cuspidata,ichii; japanese yew
340,99809,Fruit,Juniperus rigida,shore juniper
341,34274,Miscellaneous,Gossypium herbaceum,arabian cotton
342,206309,Flower,Sesbania grandiflora,gallito; spanish armada; baby boots; agati; baby boot; picashia; ofai; scarlet wistaria tree
343,58860,Herbs and Spices,Tamarindus indica,tamarind
344,280048,Plant Derivative,Copaifera langsdorffii,copaiba
345,681456,Miscellaneous,Maclura tinctoria,None
346,34298,Miscellaneous,Octomeles sumatrana,None
347,34301,Vegetable-Root,Nymphaea alba,white water lily
348,992768,Fruit,Parinari curatellifolia,None
349,58890,Miscellaneous,Ononis spinosa,None
350,34316,Nuts & Seeds,Eucalyptus camaldulensis,murray red gum
351,34317,Essential Oil,Eucalyptus globulus,blue gum
352,1205778,Miscellaneous,Scorzonera divaricata,None
353,108053,Miscellaneous,Lycoris sanguinea,None
354,39388,Miscellaneous,Verbascum thapsus,flannel plant; common mullein; velvet plant; aaron's rod
355,34340,Miscellaneous,Abies lasiocarpa,subalpine fir; alpine fir; corkbark fir; mountain balsam fir; rocky Mountain fir
356,58933,Cereal,Triticum spelta,spelt
357,58934,Miscellaneous,Zizania latifolia,None
358,58944,Vegetable-Leaf,Iris domestica,None
359,50758,Miscellaneous,Frasera speciosa,None
360,157259,Herbs and Spices,Thymus mastichina,spanish marjoram; mejorana; mastic thyme
361,50765,Miscellaneous,Gentiana macrophylla,None
362,206448,Miscellaneous,Salicornia europaea,chicken claws; chicken claw; marsh samphire; common glasswort
363,198265,Miscellaneous,Ulmus laciniata,manchurian elm
364,198266,Miscellaneous,Ulmus pumila,littleleaf elm; siberian elm; dwarf elm
365,59011,Plant,Typha angustifolia,narrow leaf cattail
366,59016,Miscellaneous,Tradescantia virginiana,virginia spiderwort
367,403101,Miscellaneous,Carissa macrocarpa,None
368,222877,Miscellaneous,Phyla nodiflora,None
369,99658,Plant,Xanthoceras sorbifolium,yellow horn
370,648872,Vegetable-Root,Potentilla discolor,None
371,59067,Vegetable-Stem,Ruscus aculeatus,None
372,140997,Fruit,Crataegus monogyna,None
373,141005,Miscellaneous,Sorbaria sorbifolia,None
374,206550,Miscellaneous,Artemisia biennis,biennial wormwood
375,59116,Miscellaneous,Smilax aspera,rough bindweed
376,42754,Nuts & Seeds,Araucaria araucana,monkey puzzle tree
377,157443,Vegetable,Vincetoxicum atratum,None
378,313104,Miscellaneous,Lathyrus palustris,marsh pea
379,59166,Miscellaneous,Valerianella locusta,lamb's lettuce; european cornsalad
380,190243,Nuts & Seeds,Firmiana simplex,aogiri; chinese parasol tree
381,263974,Herbs and Spices,Bacopa monnieri,None
382,49211,Miscellaneous,Salvia glutinosa,None
383,190260,Vegetable,Ixeridium dentatum,None
384,1042229,Miscellaneous,Vicia tenuifolia,None
385,182070,Vegetable,Saxifraga stolonifera,creeping saxifrage; hu er cao
386,49214,Herbs and Spices,Salvia lavandulifolia,None
387,452416,Miscellaneous,Origanum onites,pot marjoram
388,49216,Miscellaneous,Salvia pratensis,None
389,182084,Herbs and Spices,Gynostemma pentaphyllum,jiaogulan
390,165710,Fruit,Actinidia kolomikta,miyama mata tabi
391,165711,Miscellaneous,Actinidia latifolia,None
392,157519,Fruit,Gaultheria procumbens,wintergreen; teaberry; checkerberry
393,157520,Miscellaneous,Gaultheria pumila,None
394,722773,Vegetable,Asparagus adscendens,None
395,165719,Miscellaneous,Actinidia valvata,None
396,124763,Vegetable-Leaf,Amaranthus retroflexus,rough pigweed; redroot amaranth; common amaranth
397,83802,Vegetable-Root,Lilium candidum,None
398,124765,Vegetable-Leaf,Amaranthus spinosus,None
399,49221,Miscellaneous,Salvia viridis,None
400,124778,Herbs and Spices,Illicium verum,chinese star anise
401,124781,Miscellaneous,Kadsura heteroclita,None
402,1132405,Miscellaneous,Salvia tomentosa,None
403,108407,Vegetable-Root,Anemopsis californica,yerba mansa
404,124788,Miscellaneous,Schisandra grandiflora,None
405,124794,Herbs and Spices,Illicium anisatum,japanese star anise
406,51089,Miscellaneous,Myristica fragrans,nutmeg; mace
407,59292,Herbs and Spices,Lepidium virginicum,None
408,59297,Vegetable,Solidago canadensis,None
409,59316,Miscellaneous,Anacamptis pyramidalis,None
410,157622,Miscellaneous,Paronychia argentea,None
411,75704,Miscellaneous,Salix alba,white willow; golden willow
412,75706,Miscellaneous,Salix babylonica,weeping willow
413,59324,Vegetable-Root,Gymnadenia conopsea,None
414,52497,Miscellaneous,Prangos pabularia,None
415,83906,Vegetable-Leaf,Boehmeria nivea,chinese silk plant; ramie; zhu ma; ramy
416,149445,Miscellaneous,Madia sativa,coast tarweed
417,239565,Miscellaneous,Dryopteris fragrans,None
418,542672,Herbs and Spices,Aloysia triphylla,None
419,59338,Miscellaneous,Orchis mascula,None
420,59339,Miscellaneous,Orchis militaris,None
421,1107925,Miscellaneous,Thymus herba-barona,None
422,75745,Miscellaneous,Acer saccharinum,silver maple
423,116726,Miscellaneous,Phedimus aizoon,None
424,108544,Vegetable-Root,Fritillaria cirrhosa,None
425,108546,Vegetable,Fritillaria thunbergii,None
426,264192,Miscellaneous,Ononis repens,restharrow
427,137178,Vegetable-Leaf,Selaginella tamariscina,None
428,124943,Vegetable-Leaf,Azadirachta indica,neem; indian lilac; neem tree; margosa
429,395280,Miscellaneous,Artemisia frigida,None
430,124947,Miscellaneous,Cedrela odorata,None
431,75806,Herbs and Spices,Eutrema japonicum,wasabe
432,84000,Fruit,Arbutus andrachne,None
433,59425,Miscellaneous,Pseudognaphalium luteoalbum,None
434,84005,Fruit,Arbutus unedo,strawberry tree
435,51240,Nuts & Seeds,Juglans regia,english walnut
436,84009,Fruit,Arctostaphylos uva-ursi,bearberry
437,198699,Miscellaneous,Disporum viridescens,None
438,51239,Miscellaneous,Vanilla planifolia,cultivated vanilla
439,395311,Miscellaneous,Rumex arcticus,None
440,84019,Miscellaneous,Vaccinium ovatum,california huckleberry
441,387127,Vegetable-Gourd,Coccinia grandis,None
442,321593,Fruit,Rubus coreanus,cha tian pao; korean blackberry
443,43067,Miscellaneous,Aralia chinensis,None
444,190531,Miscellaneous,Vaccinium deliciosum,None
445,51269,Miscellaneous,Bidens frondosa,None
446,321607,Vegetable,Geum japonicum,None
447,190534,Fruit,Vaccinium arctostaphylos,caucasian whortleberry
448,51276,Vegetable,Bidens tripartita,None
449,190544,Miscellaneous,Vaccinium ovalifolium,None
450,133204,Miscellaneous,Prunus virginiana,chokecherry
451,190548,Miscellaneous,Vaccinium uliginosum,bog bilberry; bog blueberry
452,174164,Vegetable,Anemone flaccida,e zhang cao; wu gong san qi
453,157786,Vegetable,Euterpe edulis,jicara; assai palm
454,157791,Legume,Vigna radiata,green gram; jerusalem pea; mung bean; golden gram
455,59492,Miscellaneous,Rubus ellipticus,yellow raspberry; cheeseberry
456,59495,Fruit,Rubus niveus,mysore raspberry; ceylon raspberry; kala hinsalu
457,59498,Miscellaneous,Rubus rosifolius,mauritius raspberry
458,59499,Miscellaneous,Rubus spectabilis,None
459,174187,Miscellaneous,Amorphophallus paeoniifolius,None
460,247915,Miscellaneous,Otholobium glandulosum,None
461,182387,Miscellaneous,Monarda punctata,None
462,363523,Miscellaneous,Trapa japonica,None
463,198777,Fruit,Mammea americana,mamey; mammee apple
464,198787,Miscellaneous,Platonia insignis,bacury
465,174217,Miscellaneous,Monstera deliciosa,harpon; swiss cheese plant; cut leaf philodendron
