,pubChemID,common_name,functional_group
26,227,Anthranilic Acid,"Amine, Prim. amine, Prim. aromat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
27,239,Beta-Alanine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid"
28,240,Benzaldehyde,"Carbonyl compound, Aldehyde, Aromatic compound"
29,241,Benzene,Aromatic compound
30,243,Benzoic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
31,244,Benzyl Alcohol,"Hydroxy compound, Alcohol, Prim. alcohol, Aromatic compound"
32,247,Betaine,"Cation, Anion, Quaternary ammonium salt, Carboxylic acid deriv., Carboxylic acid salt"
33,253,"5-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-6-Yl)-Pentanoic Acid","Thioether, Carboxylic acid deriv., Carboxylic acid, Urea, Heterocyclic compound"
34,261,Butyraldehyde,"Carbonyl compound, Aldehyde"
35,262,"2,3-Butanediol","Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol"
36,263,1-Butanol,"Hydroxy compound, Alcohol, Prim. alcohol"
37,264,Butyric Acid,"Carboxylic acid deriv., Carboxylic acid"
38,271,Calcium Ion,
39,273,"1,5-Diaminopentane","Amine, Prim. amine, Prim. aliphat. amine"
40,275,O-{[Amino(Imino)Methyl]Amino}Homoserine Sulfate (Salt),"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
41,284,Formic Acid,"Carboxylic acid deriv., Carboxylic acid"
42,289,Pyrocatechol,"Hydroxy compound, Phenol, 1,2-diphenol, Aromatic compound"
43,294,Cellobiose,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
44,304,Cholest-5-En-3-Ol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
45,305,Choline,"Cation, Hydroxy compound, Alcohol, Prim. alcohol, Quaternary ammonium salt"
46,307,"2-Propenal, 3-Phenyl-","Carbonyl compound, Aldehyde, Alkene, Aromatic compound"
47,308,3-Phenylprop-2-En-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene, Aromatic compound"
48,309,Aconitic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
49,311,Citric Acid,"Hydroxy compound, Alcohol, Tert. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
50,312,Chloride,
51,314,Nsc99445,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Amine, Prim. amine, Prim. aromat. amine, Oxohetarene, Phosphoric acid deriv., Phosphoric acid ester, Aromatic compound, Heterocyclic compound"
52,322,(E)-P-Coumaricacid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound"
53,323,Coumarin,"Oxohetarene, Aromatic compound, Heterocyclic compound"
54,325,4-Isopropylbenzyl Alcohol,"Hydroxy compound, Alcohol, Prim. alcohol, Aromatic compound"
55,326,4-Isopropylbenzaldehyde,"Carbonyl compound, Aldehyde, Aromatic compound"
56,332,2-Methoxy-4-Vinylphenol,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
57,335,O-Cresol,"Hydroxy compound, Phenol, Aromatic compound"
58,338,Salicylic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
59,341,Digallic Acid,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Aromatic compound"
60,342,M-Cresol,"Hydroxy compound, Phenol, Aromatic compound"
61,346,4-Hydroxyphenyl Hexopyranoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Aromatic compound, Heterocyclic compound"
62,356,Octane,
63,359,Phloroglucinol,"Hydroxy compound, Phenol, Aromatic compound"
64,366,7-Acetoxy-4-Methylcoumarin,"Carboxylic acid deriv., Carboxylic acid ester, Oxohetarene, Aromatic compound, Heterocyclic compound"
65,368,Sym-Homospermidine,"Amine, Prim. amine, Prim. aliphat. amine, Sec. amine, Sec. aliphat. amine"
66,370,Gallic Acid,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
67,379,Octanoic Acid,"Carboxylic acid deriv., Carboxylic acid"
68,385,Pimelic Acid,"Carboxylic acid deriv., Carboxylic acid"
69,389,"2,5-Diaminopentanoic Acid","Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
70,397,Indole-3-Acetamide,"Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid prim. amide, Aromatic compound, Heterocyclic compound"
71,402,Hydrogen Sulfide,
72,408,Rac Cotinine,"Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid tert. amide, Lactam, Aromatic compound, Heterocyclic compound"
73,428,"1,3-Diaminopropane","Amine, Prim. amine, Prim. aliphat. amine"
74,449,Dl-Mevalonic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Tert. alcohol, Carboxylic acid deriv., Carboxylic acid"
75,450,"1,3,5(10)-Estratriene-3,17 Beta-Diol","Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Aromatic compound"
76,453,Hexitol,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
77,454,Octanal,"Carbonyl compound, Aldehyde"
78,456,Oxaluric Acid,"Carboxylic acid deriv., Carboxylic acid, Carboxylic acid imide, Carboxylic acid unsubst. imide, Urea"
79,458,S-Methylmethionine,"Cation, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
80,460,Guaiacol,"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
81,464,Hippuric Acid,"Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Aromatic compound"
82,469,2-Aminohexanedioic Acid,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
83,500,4-Guanidinobutyric Acid,"Carboxylic acid deriv., Carboxylic acid, Guanidine"
84,502,N-Carbamoylputrescine,"Amine, Prim. amine, Prim. aliphat. amine, Urea"
85,506,,"Oxohetarene, Aromatic compound, Heterocyclic compound"
86,525,Malic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
87,527,Propionaldehyde,"Carbonyl compound, Aldehyde"
88,528,4-Acetoxy-2-Aminobutanoic Acid,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alpha-aminoacid"
89,547,"3,4-Dihydroxyphenylacetic Acid","Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
90,586,Creatine,"Carboxylic acid deriv., Carboxylic acid, Guanidine"
91,588,Creatinine,"Carboxylic acid deriv., Guanidine, Heterocyclic compound"
92,595,Dl-Cystine,"Disulfide, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Sulfenic acid deriv., Alpha-aminoacid"
93,601,Dl-Alanyl-Dl-Alanine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide"
94,602,Dl-Alanine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
95,611,Dl-Glutamic Acid,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
96,612,Lactic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
97,614,Dl-Proline,"Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound, Alpha-aminoacid"
98,617,Dl-Serine,"Hydroxy compound, Alcohol, Prim. alcohol, 1,2-aminoalcohol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
99,650,"2,3-Butanedione","Carbonyl compound, Ketone"
100,660,Dihydrocoumarin,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
101,662,Dihydrokaempferol,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
102,668,Dihydroxyacetone Phosphate,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Prim. alcohol, Phosphoric acid deriv., Phosphoric acid ester"
103,674,Dimethylamine,"Amine, Sec. amine, Sec. aliphat. amine"
104,679,Dimethyl Sulfoxide,Sulfoxide
105,681,Dopamine,"Hydroxy compound, Phenol, 1,2-diphenol, Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound"
106,697,Chembl75612,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phosphoric acid deriv., Phosphoric acid ester"
107,700,Ethanolamine,"Hydroxy compound, Alcohol, Prim. alcohol, 1,2-aminoalcohol, Amine, Prim. amine, Prim. aliphat. amine"
108,702,Ethanol,"Hydroxy compound, Alcohol, Prim. alcohol"
109,712,Formaldehyde,"Carbonyl compound, Aldehyde"
110,738,Dl-Glutamine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid prim. amide, Alpha-aminoacid"
111,743,Glutaric Acid,"Carboxylic acid deriv., Carboxylic acid"
112,750,Glycine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
113,752,"2,3-Dihydroxypropanoic Acid","Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
114,753,Glycerol,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
115,756,Glycolaldehyde,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Prim. alcohol"
116,757,Glycolic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
117,760,Glyoxylic Acid,"Carbonyl compound, Aldehyde, Carboxylic acid deriv., Carboxylic acid"
118,763,Glycocyamine,"Carboxylic acid deriv., Carboxylic acid, Guanidine"
119,764,Guanine,"Amine, Prim. amine, Prim. aromat. amine, Oxohetarene, Aromatic compound, Heterocyclic compound"
120,765,Nsc19994,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Amine, Prim. amine, Prim. aromat. amine, Oxohetarene, Aromatic compound, Heterocyclic compound"
121,768,Hydrogen Cyanide,Nitrile
122,773,Dl-Histidine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound, Alpha-aminoacid"
123,774,Histamine,"Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound, Heterocyclic compound"
124,778,Dl-Homocysteine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Thiol, Alkylthiol, Alpha-aminoacid"
125,779,Dl-Homoserine,"Hydroxy compound, Alcohol, Prim. alcohol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
126,780,Homogentisic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
127,785,Hydroquinone,"Hydroxy compound, Phenol, Aromatic compound"
128,790,Hypoxanthine,"Oxohetarene, Aromatic compound, Heterocyclic compound"
129,791,Dl-Isoleucine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
130,796,Iminoaspartate,"Imine, Carboxylic acid deriv., Carboxylic acid"
131,798,Indole,"Aromatic compound, Heterocyclic compound"
132,800,Indole-3-Acetaldehyde,"Carbonyl compound, Aldehyde, Aromatic compound, Heterocyclic compound"
133,801,3-Indoleacetate,"Anion, Carboxylic acid deriv., Carboxylic acid salt, Aromatic compound, Heterocyclic compound"
134,802,Indole-3-Acetic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound"
135,807,Iodine,
136,811,Itaconic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
137,813,Potassium Ion,
138,824,Dl-Norvaline,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
139,825,4-Hydroxyproline,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-aminoalcohol, Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound, Alpha-aminoacid"
140,833,Dl-Citrulline,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Urea, Alpha-aminoacid"
141,834,Cystathionine,"Thioether, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
142,835,"5-(1,2-Dihydroxyethyl)-2,3,4(5H)-Furantrione","Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Heterocyclic compound"
143,842,H-Gamma-Glu-Cys-Oh,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Thiol, Alkylthiol, Alpha-aminoacid"
144,847,Dl-Methionine Sulfoxide,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Sulfoxide, Alpha-aminoacid"
145,849,Piperidine-2-Carboxylic Acid,"Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound, Alpha-aminoacid"
146,851,Ac1L1A62,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
147,854,Dl-Arabinose,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
148,857,Dl-Leucine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
149,864,Dl-Thioctic Acid,"Disulfide, Carboxylic acid deriv., Carboxylic acid, Sulfenic acid deriv., Heterocyclic compound"
150,867,Malonic Acid,"Carboxylic acid deriv., Carboxylic acid"
151,869,Ac1L1A7K,"Hydroxy compound, Alcohol, Sec. alcohol, Amine, Prim. amine, Prim. aromat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Thiocarboxylic acid deriv., Thiocarboxylic acid ester, Sulfenic acid deriv., Phosphoric acid deriv., Phosphoric acid ester, Aromatic compound, Heterocyclic compound"
152,871,Maltotriose,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
153,873,3-(2-Hydroxyphenyl)Propanoic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
154,876,Dl-Methionine,"Thioether, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
155,878,Methanethiol,"Thiol, Alkylthiol"
156,880,Methylglyoxal,"Carbonyl compound, Aldehyde, Ketone"
157,887,Methanol,"Hydroxy compound, Alcohol, Prim. alcohol"
158,888,Magnesium Ion,
159,890,Phytic Acid,"Phosphoric acid deriv., Phosphoric acid ester"
160,892,Scyllo-Inositol,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol"
161,896,Melatonin,"Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Aromatic compound, Heterocyclic compound"
162,923,Sodium Ion,
163,931,Naphthalene,Aromatic compound
164,934,Nickel(2+),
165,935,Nickel,
166,936,Nicotinamide,"Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid prim. amide, Aromatic compound, Heterocyclic compound"
167,938,Nicotinic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound"
168,943,Nitrate,Anion
169,947,Nitrogen,
170,949,"N,N-Dimethylaniline","Amine, Tert. amine, Tert. mixed amine, Aromatic compound"
171,951,Dl-Arterenol,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-aminoalcohol, Phenol, 1,2-diphenol, Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound"
172,955,2-Succinylbenzoate,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
173,957,1-Octanol,"Hydroxy compound, Alcohol, Prim. alcohol"
174,962,Water,
175,970,Oxalacetic Acid,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid"
176,971,Oxalic Acid,"Carboxylic acid deriv., Carboxylic acid"
177,978,4-Aminobenzoic Acid,"Amine, Prim. amine, Prim. aromat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
178,984,Hexadecanal,"Carbonyl compound, Aldehyde"
179,985,Palmitic Acid,"Carboxylic acid deriv., Carboxylic acid"
180,988,Dl-Pantothenic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide"
181,994,Dl-Phenylalanine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Alpha-aminoacid"
182,996,Phenol,"Hydroxy compound, Phenol, Aromatic compound"
183,998,Phenylacetaldehyde,"Carbonyl compound, Aldehyde, Aromatic compound"
184,999,Phenylacetic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
185,1001,Phenethylamine,"Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound"
186,1004,Phosphoric Acid,"Phosphoric acid deriv., Phosphoric acid"
187,1005,Phosphoenolpyruvate,"Carboxylic acid deriv., Carboxylic acid, Phosphoric acid deriv., Alkene"
188,1017,Phthalic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
189,1031,1-Propanol,"Hydroxy compound, Alcohol, Prim. alcohol"
190,1032,Propionic Acid,"Carboxylic acid deriv., Carboxylic acid"
191,1044,Purine,"Aromatic compound, Heterocyclic compound"
192,1045,"1,4-Diaminobutane","Amine, Prim. amine, Prim. aliphat. amine"
193,1049,Pyridine,"Aromatic compound, Heterocyclic compound"
194,1054,Pyridoxine,"Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Aromatic compound, Heterocyclic compound"
195,1057,Pyrogallol,"Hydroxy compound, Phenol, 1,2-diphenol, Aromatic compound"
196,1060,Pyruvic Acid,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid"
197,1064,"1,3,4,5-Tetrahydroxycyclohexanecarboxylic Acid","Hydroxy compound, Alcohol, Sec. alcohol, Tert. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
198,1066,Quinolinic Acid,"Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound"
199,1068,Dimethyl Sulfide,Thioether
200,1081,Citramalic Acid,"Hydroxy compound, Alcohol, Tert. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
201,1087,L- Saccharopin,"Amine, Prim. amine, Prim. aliphat. amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
202,1088,Sarcosine,"Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
203,1102,Spermidine,"Amine, Prim. amine, Prim. aliphat. amine, Sec. amine, Sec. aliphat. amine"
204,1103,Spermine,"Amine, Prim. amine, Prim. aliphat. amine, Sec. amine, Sec. aliphat. amine"
205,1107,Sterol,"Hydroxy compound, Alcohol, Sec. alcohol"
206,1110,Succinic Acid,"Carboxylic acid deriv., Carboxylic acid"
207,1115,Hex-2-Ulofuranosyl Hexopyranoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
208,1123,Taurine,"Amine, Prim. amine, Prim. aliphat. amine, Sulfonic acid deriv., Sulfonic acid"
209,1130,Thiamine,"Cation, Hydroxy compound, Alcohol, Prim. alcohol, Amine, Prim. amine, Prim. aromat. amine, Aromatic compound, Heterocyclic compound"
210,1135,Thymine,"Oxohetarene, Aromatic compound, Heterocyclic compound"
211,1136,4-Methyl-5-Thiazoleethanol,"Hydroxy compound, Alcohol, Prim. alcohol, Aromatic compound, Heterocyclic compound"
212,1137,4-Methyl-5-Hydroxyethylthiazole Phosphate,"Phosphoric acid deriv., Phosphoric acid ester, Aromatic compound, Heterocyclic compound"
213,1140,Toluene,Aromatic compound
214,1143,Neotrehalose,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
215,1146,Trimethylamine,"Amine, Tert. amine, Tert. aliphat. amine"
216,1148,Dl-Tryptophan,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound, Alpha-aminoacid"
217,1150,Tryptamine,"Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound, Heterocyclic compound"
218,1153,Dl-Tyrosine,"Hydroxy compound, Phenol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Alpha-aminoacid"
219,1174,Uracil,"Oxohetarene, Aromatic compound, Heterocyclic compound"
220,1175,Uric Acid,"Oxohetarene, Aromatic compound, Heterocyclic compound"
221,1176,Urea,Urea
222,1177,Arabinofuranosyluracil,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Oxohetarene, Aromatic compound, Heterocyclic compound"
223,1182,Dl-Valine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
224,1183,Vanillin,"Carbonyl compound, Aldehyde, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
225,1188,Xanthine,"Oxohetarene, Aromatic compound, Heterocyclic compound"
226,1189,9-.Beta.-D-Ribofuranosylxanthine,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Oxohetarene, Aromatic compound, Heterocyclic compound"
227,1198,Isocitric Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
228,1213,23333-91-7,"Hydroxy compound, Alcohol, Tert. alcohol"
229,1256,Perillic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
230,1286,Dimethylmatairesinol,"Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
231,1392,Edelfosine,"Cation, Anion, Ether, Dialkylether, Quaternary ammonium salt, Phosphoric acid deriv., Phosphoric acid ester"
232,1413,12-Hete,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
233,1491,"2,4-Dihydroxybenzoic Acid","Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
234,1662,Meglutol,"Hydroxy compound, Alcohol, Tert. alcohol, Carboxylic acid deriv., Carboxylic acid"
235,1738,Homovanillic Acid,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
236,1826,5-Hydroxyindole-3-Acetic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound"
237,1889,Dl-Liquiritigenin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
238,1983,Acetaminophen,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Aromatic compound"
239,2153,Theophylline,"Oxohetarene, Aromatic compound, Heterocyclic compound"
