,id,category,name,disease_synonyms
12,MESH:D012640,Nervous system disease|Signs and symptoms,Seizures,"Absence Seizure|Absence Seizure, Atonic|Absence Seizure, Generalized|Absence Seizures|Absence Seizures, Atonic|Absence Seizures, Generalized|Atonic Absence Seizure|Atonic Absence Seizures|Atonic Seizure|Atonic Seizures|Auditory Seizure|Auditory Seizures|Clonic Seizure|Clonic Seizures|Complex Partial Seizure|Complex Partial Seizures|Convulsion|Convulsion, Non Epileptic|Convulsion, Non-Epileptic|Convulsion, Petit Mal|Convulsions|Convulsions, Non-Epileptic|Convulsive Seizure|Convulsive Seizures|Epileptic Seizure|Epileptic Seizures|Focal Seizure|Focal Seizures|Generalized Absence Seizure|Generalized Absence Seizures|Generalized Seizure|Generalized Seizures|Generalized Tonic-Clonic Seizure|Generalized Tonic Clonic Seizures|Generalized Tonic-Clonic Seizures|Gustatory Seizure|Gustatory Seizures|Jacksonian Seizure|Motor Seizure|Motor Seizures|Myoclonic Seizure|Myoclonic Seizures|Non-Epileptic Convulsion|Non-Epileptic Convulsions|Nonepileptic Seizure|Non-Epileptic Seizure|Nonepileptic Seizures|Non Epileptic Seizures|Non-Epileptic Seizures|Olfactory Seizure|Olfactory Seizures|Partial Seizure|Partial Seizure, Complex|Partial Seizures|Partial Seizures, Complex|Petit Mal Convulsion|Seizure|Seizure, Absence|Seizure, Atonic|Seizure, Atonic Absence|Seizure, Auditory|Seizure, Clonic|Seizure, Complex Partial|Seizure, Convulsive|Seizure, Epileptic|Seizure, Focal|Seizure, Generalized|Seizure, Generalized Absence|Seizure, Generalized Tonic-Clonic|Seizure, Gustatory|Seizure, Jacksonian|Seizure, Motor|Seizure, Myoclonic|Seizure, Nonepileptic|Seizure, Non-Epileptic|Seizure, Olfactory|Seizure, Partial|Seizures, Atonic|Seizures, Atonic Absence|Seizures, Auditory|Seizures, Clonic|Seizures, Complex Partial|Seizures, Convulsive|Seizure, Sensory|Seizures, Epileptic|Seizures, Focal|Seizures, Generalized|Seizures, Generalized Absence|Seizures, Generalized Tonic-Clonic|Seizures, Gustatory|Seizure, Single|Seizures, Motor|Seizures, Myoclonic|Seizures, Nonepileptic|Seizures, Non-Epileptic|Seizures, Olfactory|Seizure, Somatosensory|Seizures, Partial|Seizures, Sensory|Seizures, Single|Seizures, Somatosensory|Seizures, Tonic|Seizures, Tonic Clonic|Seizures, Tonic-Clonic|Seizures, Vertiginous|Seizures, Vestibular|Seizures, Visual|Seizure, Tonic|Seizure, Tonic-Clonic|Seizure, Vertiginous|Seizure, Vestibular|Seizure, Visual|Sensory Seizure|Sensory Seizures|Single Seizure|Single Seizures|Somatosensory Seizure|Somatosensory Seizures|Tonic-Clonic Seizure|Tonic-Clonic Seizure, Generalized|Tonic Clonic Seizures|Tonic-Clonic Seizures|Tonic-Clonic Seizures, Generalized|Tonic Seizure|Tonic Seizures|Vertiginous Seizure|Vertiginous Seizures|Vestibular Seizure|Vestibular Seizures|Visual Seizure|Visual Seizures"
13,MESH:C537963,Congenital abnormality|Musculoskeletal disease,Calvarial hyperostosis,Isolated hyperostosis of the calvarium
14,OMIM:194300,Skin disease,"WOOLLY HAIR, AUTOSOMAL DOMINANT",ADWH
15,MESH:C535799,Genetic disease (inborn)|Musculoskeletal disease,Spondyloperipheral dysplasia short ulna,Familial spondyloepiphyseal dysplasia|Spondyloperipheral dysplasia|Spondyloperipheral Dysplasia With Short Ulna
16,MESH:C563415,Eye disease|Genetic disease (inborn),Cone-Rod Dystrophy 5,CORD5
17,MESH:C567469,Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease,"Myopathy, Reducing Body, X-Linked, Early-Onset, Severe","RBMX1A|REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET"
18,MESH:C565865,Genetic disease (inborn)|Nervous system disease,"Spinocerebellar Ataxia, Autosomal Recessive 2","Cerebellar Granular Cell Hypoplasia and Mental Retardation, Congenital|Cerebellar Hypoplasia, Nonprogressive Norman Type|Cerebelloparenchymal Disorder III|CPD3|CPD III|SCAR2"
19,MESH:D009230,Connective tissue disease|Endocrine system disease,Myxedema,Myxedemas
20,MESH:C566969,Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Signs and symptoms,"Ataxia, Spastic, 2, Autosomal Recessive","SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE|SPAX2"
21,MESH:C538270,Ear-nose-throat disease,Auriculo-condylar syndrome,"ARCND1|ARCND2|ARCND3|AURICULAR CLEFT, CONGENITAL|Auriculocondylar syndrome|Auriculocondylar syndrome 1|AURICULOCONDYLAR SYNDROME 2|AURICULOCONDYLAR SYNDROME 3|COSMAN DEFORMITY OF THE AURICLE|Ears prominent and constricted|EARS, PROMINENT AND CONSTRICTED|QME|Question mark ear|QUESTION MARK EARS, ISOLATED|Question Mark Ears Syndrome|Question-Mark Ear Syndrome"
22,MESH:C566513,Congenital abnormality|Mouth disease,"Tooth Agenesis, Selective, 2",HYD2|Hypodontia-Oligodontia 2|HYPODONTIA/OLIGODONTIA 2|STHAG2
23,MESH:C565058,Blood disease|Genetic disease (inborn),Elliptocytosis 2,"EL2|Elliptocytosis, Rhesus-Unlinked Type"
24,OMIM:615042,Genetic disease (inborn)|Metabolic disease,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu",CDG1U|CDGIu|CDG Iu
25,MESH:D003920,Endocrine system disease|Metabolic disease,Diabetes Mellitus,None
26,MESH:D053713,Urogenital disease (male),Azoospermia,None
27,MESH:D007409,Congenital abnormality|Digestive system disease,Intestinal Atresia,"Apple Peel Intestinal Atresia|Apple-Peel Intestinal Atresia|Apple-Peel Intestinal Atresias|Apple Peel Small Bowel Syndrome|Apple Peel Syndrome|Apple Peel Syndromes|Atresia, Apple-Peel Intestinal|Atresia, Congenital Intestinal|Atresia, Intestinal|Atresia, Jejunal|Atresias, Apple-Peel Intestinal|Atresias, Congenital Intestinal|Congenital Intestinal Atresia|Congenital Intestinal Atresias|Familial Apple Peel Jejunal Atresia|Intestinal Atresia, Apple-Peel|Intestinal Atresia, Congenital|Intestinal Atresias, Apple-Peel|Intestinal Atresias, Congenital|Jejunal Atresia"
28,MESH:D013705,Mouth disease|Musculoskeletal disease,Temporomandibular Joint Disorders,"Diseases, Temporomandibular Joint|Diseases, TMJ|Disease, Temporomandibular Joint|Disease, TMJ|Disorders, Temporomandibular|Disorders, Temporomandibular Joint|Disorders, TMJ|Disorder, Temporomandibular|Disorder, Temporomandibular Joint|Disorder, TMJ|Joint Diseases, Temporomandibular|Joint Disease, Temporomandibular|Joint Disorders, Temporomandibular|Joint Disorder, Temporomandibular|Temporomandibular Disorder|Temporomandibular Disorders|Temporomandibular Joint Disease|Temporomandibular Joint Diseases|Temporomandibular Joint Disorder|TMJ Disease|TMJ Diseases|TMJ Disorder|TMJ Disorders"
29,MESH:D014138,Digestive system disease|Pathology (anatomical condition)|Respiratory tract disease,Tracheoesophageal Fistula,"Esophagotracheal Fistula|Esophagotracheal Fistulas|Fistula, Esophagotracheal|Fistulas, Esophagotracheal|Fistulas, Tracheoesophageal|Fistula, Tracheoesophageal|Tracheoesophageal Fistulas"
30,MESH:D053358,Congenital abnormality|Genetic disease (inborn)|Skin disease,"Ectodermal Dysplasia 1, Anhidrotic","Anhidrotic Ectodermal Dysplasia, X Linked|Anhidrotic Ectodermal Dysplasia, X-Linked|Anhydrotic Ectodermal Dysplasia, X Linked|Anhydrotic Ectodermal Dysplasia, X-Linked|Christ Siemens Touraine Syndrome|Christ-Siemens-Touraine Syndrome|CST Syndrome|CST Syndromes|Dysplasia 1, Ectodermal|ECTD1|Ectodermal Dysplasia 1|Ectodermal Dysplasia 1, Anhydrotic|ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC/HAIR/TOOTH TYPE, X-LINKED|ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED|Ectodermal Dysplasia 1s|Ectodermal Dysplasia, Anhidrotic, X-Linked|ECTODERMAL DYSPLASIA, HYPOHIDROTIC, 1|Ectodermal Dysplasia, Hypohidrotic, X-Linked|Ectodermal Dysplasia, Hypohydridic, X-Linked|ED1|EDA|EDA1|HED1|Hypohidrotic Ectodermal Dysplasia|Syndrome, CST|Syndromes, CST|XHED|XLHED|X Linked Hypohydridic Ectodermal Dysplasia|X-Linked Hypohydridic Ectodermal Dysplasia"
31,MESH:D008579,Cancer|Nervous system disease,Meningioma,"Angioblastic Meningioma|Angioblastic Meningiomas|Angiomatous Meningioma|Angiomatous Meningiomas|Benign Meningioma|Benign Meningiomas|Cerebral Convexity Meningioma|Cerebral Convexity Meningiomas|Clear Cell Meningioma|Clear Cell Meningiomas|Convexity Meningioma, Cerebral|Convexity Meningiomas, Cerebral|Fibrous Meningioma|Fibrous Meningiomas|Groove Meningiomas, Olfactory|Hemangioblastic Meningioma|Hemangioblastic Meningiomas|Hemangiopericytic Meningioma|Hemangiopericytic Meningiomas|Intracranial Meningioma|Intracranial Meningiomas|Intraorbital Meningioma|Intraorbital Meningiomas|Intraventricular Meningioma|Intraventricular Meningiomas|Malignant Meningioma|Malignant Meningiomas|Meningioma, Angioblastic|Meningioma, Angiomatous|Meningioma, Benign|Meningioma, Cerebral Convexity|Meningioma, Clear Cell|Meningioma, Fibrous|Meningioma, Hemangioblastic|Meningioma, Hemangiopericytic|Meningioma, Intracranial|Meningioma, Intraorbital|Meningioma, Intraventricular|Meningioma, Malignant|Meningioma, Meningotheliomatous|Meningioma, Microcystic|Meningioma, Multiple|Meningioma, Olfactory Groove|Meningioma, Papillary|Meningioma, Parasagittal|Meningioma, Posterior Fossa|Meningioma, Psammomatous|Meningiomas|Meningiomas, Angioblastic|Meningiomas, Angiomatous|Meningiomas, Benign|Meningiomas, Cerebral Convexity|Meningiomas, Clear Cell|Meningioma, Secretory|Meningiomas, Fibrous|Meningiomas, Hemangioblastic|Meningiomas, Hemangiopericytic|Meningiomas, Intracranial|Meningiomas, Intraorbital|Meningiomas, Intraventricular|Meningiomas, Malignant|Meningiomas, Meningotheliomatous|Meningiomas, Microcystic|Meningiomas, Multiple|Meningiomas, Olfactory Groove|Meningiomas, Papillary|Meningiomas, Parasagittal|Meningioma, Sphenoid Wing|Meningioma, Spinal|Meningiomas, Posterior Fossa|Meningiomas, Psammomatous|Meningiomas, Secretory|Meningiomas, Sphenoid Wing|Meningiomas, Spinal|Meningiomas, Transitional|Meningiomas, Xanthomatous|Meningiomatoses|Meningiomatosis|Meningioma, Transitional|Meningioma, Xanthomatous|Meningotheliomatous Meningioma|Meningotheliomatous Meningiomas|Microcystic Meningioma|Microcystic Meningiomas|Multiple Meningioma|Multiple Meningiomas|Olfactory Groove Meningioma|Olfactory Groove Meningiomas|Papillary Meningioma|Papillary Meningiomas|Parasagittal Meningioma|Parasagittal Meningiomas|Posterior Fossa Meningioma|Posterior Fossa Meningiomas|Psammomatous Meningioma|Psammomatous Meningiomas|Secretory Meningioma|Secretory Meningiomas|Sphenoid Wing Meningioma|Sphenoid Wing Meningiomas|Spinal Meningioma|Spinal Meningiomas|Transitional Meningioma|Transitional Meningiomas|Wing Meningioma, Sphenoid|Wing Meningiomas, Sphenoid|Xanthomatous Meningioma|Xanthomatous Meningiomas"
32,MESH:C548081,Cardiovascular disease|Congenital abnormality|Connective tissue disease|Musculoskeletal disease,Noonan Syndrome 2,"Noonan Syndrome, Autosomal Recessive|NS2"
33,MESH:C564133,Immune system disease|Respiratory tract disease,"Ige Responsiveness, Atopic","ATOPIC HYPERSENSITIVITY, INCLUDED|ATOPY, SUSCEPTIBILITY TO, INCLUDED|IGEL|IgE, LEVEL OF|IGER|Ige Response Underlying Allergic Asthma and Rhinitis|IgE RESPONSE UNDERLYING ALLERGIC ASTHMA AND RHINITIS IgE, ELEVATED LEVEL OF, INCLUDED|Immunoglobulin E, Basic Level of, in Serum"
34,MESH:D014526,Urogenital disease (female)|Urogenital disease (male),Urethritis,Urethritides
35,MESH:D056829,Cardiovascular disease|Immune system disease|Skin disease,Hereditary Angioedema Types I and II,"Angioedema, Hereditary, Type I|Angioedema, Hereditary, Type II|Angioedema, Hereditary, Types I and II|C1 Esterase Inhibitor, Deficiency Of|Deficiency of C1 Esterase Inhibitor|Hereditary Angioedema Type 1|Hereditary Angioedema Type I|Hereditary Angioedema Type II"
36,MESH:D007024,Cardiovascular disease|Nervous system disease,"Hypotension, Orthostatic","Hypotension, Postural|Orthostatic Hypotension|Postural Hypotension"
37,MESH:D003928,Endocrine system disease|Urogenital disease (female)|Urogenital disease (male),Diabetic Nephropathies,"Diabetic Glomerulosclerosis|Diabetic Kidney Disease|Diabetic Kidney Diseases|Diabetic Nephropathy|Glomerulosclerosis, Diabetic|Glomerulosclerosis, Nodular|Intracapillary Glomerulosclerosis|Kidney Disease, Diabetic|Kidney Diseases, Diabetic|Kimmelstiel Wilson Disease|Kimmelstiel-Wilson Disease|Kimmelstiel Wilson Syndrome|Kimmelstiel-Wilson Syndrome|Nephropathies, Diabetic|Nephropathy, Diabetic|Nodular Glomerulosclerosis|Syndrome, Kimmelstiel-Wilson"
38,MESH:D020964,Pathology (process)|Pregnancy complication,Embryo Loss,"Blastocyst Disintegration|Death, Embryo|Disintegration, Blastocyst|Disintegration of Blastocyst|Disintegration of Embryo|Embryo Death|Embryo Deaths|Embryo Disintegration|Embryo Resorption|Resorption, Embryo"
39,MESH:C538069,Congenital abnormality|Musculoskeletal disease,Fryns Hofkens Fabry syndrome,Ulna hypoplasia|Ulnar hypoplasia|Upper limb mesomelic dysplasia
40,OMIM:614739,Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms,"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME","3-METHYLGLUTACONIC ACIDURIA, TYPE VI|MEGDEL|MGCA6"
41,MESH:C562419,Congenital abnormality|Eye disease|Skin disease|Urogenital disease (female)|Urogenital disease (male),"Blepharophimosis, Ptosis, and Epicanthus Inversus","Blepharophimosis, Ptosis, and Epicanthus Inversus Syndrome|Blepharophimosis, Ptosis, and Epicanthus Inversus Type I|Blepharophimosis, Ptosis, and Epicanthus Inversus Type II|Blepharophimosis Syndrome|BPES|BPES, TYPE I, AUTOSOMAL RECESSIVE, INCLUDED|BPES, TYPE II, INCLUDED|BPES, TYPE I, INCLUDED|BPES WITH DUANE RETRACTION SYNDROME, INCLUDED|BPES WITHOUT OVARIAN FAILURE, INCLUDED|BPES WITH OVARIAN FAILURE, INCLUDED"
42,MESH:D012175,Cancer|Eye disease,Retinoblastoma,"Eye Cancer, Retinoblastoma|Familial Retinoblastoma|Familial Retinoblastomas|Glioblastoma, Retinal|Glioblastomas, Retinal|Glioma, Retinal|Gliomas, Retinal|Hereditary Retinoblastoma|Hereditary Retinoblastomas|Neuroblastoma, Retinal|Neuroblastomas, Retinal|RB|RB1|Retinal Glioblastoma|Retinal Glioblastomas|Retinal Glioma|Retinal Gliomas|Retinal Neuroblastoma|Retinal Neuroblastomas|Retinoblastoma, Familial|Retinoblastoma, Hereditary|Retinoblastomas|Retinoblastomas, Familial|Retinoblastomas, Hereditary|Retinoblastoma, Sporadic|Retinoblastomas, Sporadic|Sporadic Retinoblastoma|Sporadic Retinoblastomas"
43,MESH:C538215,Congenital abnormality|Mouth disease,"Dentin dysplasia, type 1","DENTIN DYSPLASIA, SHIELDS TYPE I|Dentin Dysplasia, Type I|DTDP1|Radicular dentin dysplasia|RADICULAR DENTIN DYSPLASIA  DENTIN DYSPLASIA, TYPE I, WITH EXTREME MICRODONTIA AND MISSHAPEN TEETH, INCLUDED|Rootless teeth"
44,OMIM:614679,Congenital abnormality|Ear-nose-throat disease|Genetic disease (inborn)|Respiratory tract disease,"CILIARY DYSKINESIA, PRIMARY, 17","CILD17|CILIARY DYSKINESIA, PRIMARY, 17, WITH OR WITHOUT SITUS INVERSUS"
45,MESH:C536820,Musculoskeletal disease|Skin disease,"Trichorhinophalangeal Syndrome, Type I",Giedion syndrome|Trichorhinophalangeal dysplasia 1|Trichorhinophalangeal (TRP) syndrome 1|TRPS1|TRPS I
46,MESH:D011009,Occupational disease|Respiratory tract disease,Pneumoconiosis,Bagassosis|Pneumoconioses
47,MESH:C538442,Blood disease|Genetic disease (inborn),Aase Smith syndrome 2,"Aase-Smith Syndrome II|Aase syndrome|Anemia and triphalangeal thumbs|Anemia congenital erythroid hypoplastic|Anemia, Congenital Erythroid Hypoplastic|Aregenerative anemia, chronic congenital|Congenital anemia and triphalangeal thumbs|Diamond-Blackfan Anemia 6|Hypoplastic anemia-triphalangeal thumbs, Aase-Smith type"
48,MESH:D020235,Nervous system disease|Signs and symptoms,Gait Apraxia,"Apraxia, Bruns' Gait|Apraxia, Frontal Gait|Apraxia, Gait|Apraxia of Gait|Apraxias, Bruns' Gait|Apraxias, Frontal Gait|Apraxias, Gait|Bruns Apraxia, Gait|Bruns' Apraxia, Gait|Bruns' Apraxia of Gait|Bruns Gait Apraxia|Bruns' Gait Apraxia|Bruns' Gait Apraxias|Dyspraxia of Gait|Frontal Gait Apraxia|Frontal Gait Apraxias|Gait Apraxia, Bruns'|Gait Apraxia, Frontal|Gait Apraxias|Gait Apraxias, Bruns'|Gait Apraxias, Frontal|Gait Dyspraxia|Gait Dyspraxias"
49,MESH:D001018,Cardiovascular disease,Aortic Diseases,"Aortic Disease|Disease, Aortic|Diseases, Aortic"
50,MESH:D020225,Cardiovascular disease|Nervous system disease,Sagittal Sinus Thrombosis,"Phlebitis, Sagittal Sinus, Septic|Sagittal Sinus Septic Phlebitis|Sagittal Sinus Thrombophlebitis|Sagittal Sinus Thromboses|Septic Phlebitis, Sagittal Sinus|Sinus Thrombophlebitis, Sagittal|Sinus Thromboses, Sagittal|Sinus Thrombosis, Sagittal|Thrombophlebitis, Sagittal Sinus|Thromboses, Sagittal Sinus|Thrombosis, Sagittal Sinus"
51,MESH:D009668,Ear-nose-throat disease|Respiratory tract disease,Nose Diseases,"Disease, Nasal|Disease, Nose|Diseases, Nasal|Diseases, Nose|Disorder, Nasal|Disorders, Nasal|Nasal Disease|Nasal Diseases|Nasal Disorder|Nasal Disorders|Nose Disease"
52,MESH:D053560,Congenital abnormality|Genetic disease (inborn)|Infant-newborn disease|Skin disease,Ichthyosis Bullosa of Siemens,"Bullous Type Ichthyoses|Bullous Type Ichthyosis|Bullous Type of Ichthyosis|IBS|Ichthyoses, Bullous Type|Ichthyosis Bullous Type|Ichthyosis, Bullous Type|ICHTHYOSIS, BULLOUS TYPE  ICHTHYOSIS EXFOLIATIVA, INCLUDED|Ichthyosis, Bullous Type of Siemens|Siemens Ichthyosis Bullosa"
53,MESH:D015418,Eye disease|Genetic disease (inborn)|Nervous system disease,"Optic Atrophies, Hereditary","Atrophies, Hereditary Optic|Atrophy, Hereditary Optic|Hereditary Optic Atrophies|Hereditary Optic Atrophy|Optic Atrophy, Hereditary"
54,MESH:D052159,Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Urogenital disease (female)|Urogenital disease (male),Frasier Syndrome,"Syndrome, Frasier"
55,OMIM:616339,Nervous system disease,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29",EIEE29
56,MESH:D030361,Viral disease,Papillomavirus Infections,"HPV Infection|HPV Infections|Human Papillomavirus Infection|Human Papillomavirus Infections|Papillomavirus Infection|Papillomavirus Infection, Human|Papillomavirus Infections, Human"
57,OMIM:615578,Genetic disease (inborn)|Metabolic disease,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18,COXPD18
58,MESH:C567349,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Spastic Paraplegia 38, Autosomal Dominant",SPG38
59,MESH:C536113,Congenital abnormality|Genetic disease (inborn),Nevo syndrome,Cerebral gigantism nevo type
60,MESH:D009264,Pathology (anatomical condition),"Nails, Malformed","Abnormalities, Nail|Abnormality, Nail|Abnormal Nail|Abnormal Nails|Malformed Nail|Malformed Nails|Nail, Abnormal|Nail Abnormalities|Nail Abnormality|Nail, Malformed|Nails, Abnormal|Pachyonychia"
61,MESH:C564265,Ear-nose-throat disease|Nervous system disease|Signs and symptoms,"Deafness, Autosomal Recessive 39",DFNB39
62,MESH:D017192,Bacterial infection or mycosis|Skin disease,"Skin Diseases, Bacterial","Bacterial Skin Disease|Bacterial Skin Diseases|Disease, Bacterial Skin|Diseases, Bacterial Skin|Skin Disease, Bacterial"
63,MESH:D011127,Pathology (anatomical condition),Polyps,Polyp
64,MESH:D015471,Cancer,"Leukemia, Basophilic, Acute","Acute Basophilic Leukemia|Acute Basophilic Leukemias|Basophilic Leukemia, Acute|Basophilic Leukemias, Acute|Leukemia, Acute Basophilic|Leukemias, Acute Basophilic"
65,OMIM:616231,Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease,"MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATES",VMCQA
66,MESH:D012004,Cancer|Digestive system disease,Rectal Neoplasms,"Cancer of Rectum|Cancer of the Rectum|Cancer, Rectal|Cancer, Rectum|Neoplasm, Rectal|Neoplasm, Rectum|Neoplasms, Rectal|Rectal Cancer|Rectal Cancers|Rectal Neoplasm|Rectal Tumor|Rectal Tumors|Rectum Cancer|Rectum Cancers|Rectum Neoplasm|Rectum Neoplasms|Tumor, Rectal"
67,OMIM:613884,Cancer|Congenital abnormality|Eye disease|Genetic disease (inborn)|Mental disorder|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms,CHROMOSOME 13q14 DELETION SYNDROME,CHROMOSOME 13q DELETION SYNDROME
68,OMIM:615923,Genetic disease (inborn)|Musculoskeletal disease,"EPIPHYSEAL CHONDRODYSPLASIA, MIURA TYPE",ECDM
69,MESH:C563523,Cancer|Genetic disease (inborn)|Nervous system disease,"Neurofibromatosis, Familial Spinal",FSNF
70,MESH:D004692,Cardiovascular disease,Endarteritis,Endarteritides
71,MESH:C566929,Nervous system disease|Signs and symptoms,"Febrile Convulsions, Familial, 7","FEB7|FEBRILE CONVULSIONS, FAMILIAL, 7|FEBRILE SEIZURES, FAMILIAL, 7"
72,MESH:C566404,Genetic disease (inborn)|Immune system disease|Skin disease,"Dermatitis, Atopic, 1","ATOD|ATOD1, INCLUDED|DERMATITIS, ATOPIC|ECZEMA, ATOPIC DERMATITIS, ATOPIC, 1, INCLUDED"
73,MESH:D007593,Musculoskeletal disease,Joint Instability,"Hypermobilities, Joint|Hypermobility, Joint|Instabilities, Joint|Instability, Joint|Joint Hypermobilities|Joint Hypermobility|Joint Instabilities|Joint Laxities|Joint Laxity|Laxities, Joint|Laxity, Joint"
74,OMIM:614557,Blood disease|Cardiovascular disease|Congenital abnormality|Connective tissue disease|Ear-nose-throat disease|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease|Signs and symptoms|Skin disease,"EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 2","EDSKMH|EDSKSCL2|EHLERS-DANLOS SYNDROME WITH PROGRESSIVE KYPHOSCOLIOSIS, MYOPATHY, AND HEARING LOSS"
75,MESH:D009440,Mental disorder,Neurasthenia,"Neurasthenic Neuroses|Neuroses, Neurasthenic"
76,MESH:C565232,Immune system disease,"Interleukin 2 Receptor, Alpha, Deficiency of","CD25 Deficiency|IL2RA Deficiency|IMD41|IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY|INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF"
77,MESH:D001649,Digestive system disease,Bile Duct Diseases,"Bile Duct Disease|Disease, Bile Duct|Diseases, Bile Duct|Duct Disease, Bile|Duct Diseases, Bile"
78,MESH:D058490,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male),"46, XY Disorders of Sex Development","46,XY Disorders of Sex Development|46, XY DSD|46,XY DSD|46,XY DSDs|46,XY Gonadal Dysgenesis, Complete or Partial, With or Without Adrenal Failure|46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, WITH OR WITHOUT ADRENAL FAILURE|46,XY Sex Reversal 3|46,XY Sex Reversal, Partial or Complete, NR5A1-Related|Disorder of Sex Development, 46,XY|DISORDER OF SEX DEVELOPMENT, 46,XY, NR5A1-RELATED|DSD, 46,XY|DSDs, 46,XY|Male Pseudohermaphroditism|Male Pseudohermaphroditisms|Pseudohermaphroditism, Male|Pseudohermaphroditisms, Male|Sex Reversal, XY, With Or Without Adrenal Failure|SRXY3"
79,MESH:D019190,Metabolic disease,Iron Overload,"Overload, Iron"
80,MESH:C538001,Nervous system disease,Dystonia 12,"Dystonia-Parkinsonism, Rapid-Onset|Dyt12|Rapid-onset dystonia-parkinsonism|Rapid-Onset Dystonia Parkinsonism|RDP"
